Topic_Folder,Source_File,Sentence,Extracted_Aspects,Sentiment,Confidence_Score
Algorithms,MH2DWX_algorithms.txt,"Usually my like favorite, favorite ones are stuff I found like on my own that weren't necessarily recommended to me.","my like favorite, favorite ones, stuff, i, that, me",Positive,0.4929
Algorithms,MH2DWX_algorithms.txt,I guess it feels more personal.,"i, it",Neutral,0.7433
Algorithms,MH2DWX_algorithms.txt,Not really.,No clear aspect,Neutral,0.5599
Algorithms,MH2DWX_algorithms.txt,I'm not like actively searching out recommended songs usually.,"i, recommended songs",Neutral,0.5149
Algorithms,MH2DWX_algorithms.txt,Yeah.,No clear aspect,Neutral,0.5491
Algorithms,MH2DWX_algorithms.txt,I've only done that like once or twice.,"i, that",Neutral,0.8155
Algorithms,MH2DWX_algorithms.txt,"I'm just like, I feel like new music, but I want something like familiar or something.","i, i, new music, i, something",Neutral,0.6301
Algorithms,MH2DWX_algorithms.txt,But usually it just sort of pops up by chance.,"it, chance",Neutral,0.757
Algorithms,MH2DWX_algorithms.txt,"Like I'm not looking for new songs, I guess.","i, new songs, i",Neutral,0.6183
Algorithms,1JVZTM_algorithms.txt,Either from.,No clear aspect,Neutral,0.7075
Algorithms,1JVZTM_algorithms.txt,I use the.,"i, the",Neutral,0.7872
Algorithms,1JVZTM_algorithms.txt,I used to use the Spotify like DJ thing a lot.,"i, the spotify, dj thing",Neutral,0.8116
Algorithms,1JVZTM_algorithms.txt,But then it would like sometimes just gives you a bunch of stuff that I don't want to listen to.,"it, you, a bunch, stuff, that, i",Negative,0.9295
Algorithms,1JVZTM_algorithms.txt,"So I was like, So a lot of the times I'll go like, if there's like an artist, I'll like, on Spotify, there's like a tab that's like, other listeners like listen to these bands too, so I'll do that.","i, a lot, the times, i, an artist, i, spotify, a tab, that, other listeners, these bands, i, that",Neutral,0.5135
Algorithms,6R5ITB_algorithms.txt,And so I feel like I get a lot of new music that way because it'll like recommend stuff based on what me and the other person like.,"i, i, a lot, new music, it, stuff, what, me, the other person",Positive,0.8232
Algorithms,6R5ITB_algorithms.txt,"I sometimes like to do, like Spotify has this like AI DJ.","i, spotify, this, ai dj",Positive,0.5919
Algorithms,6R5ITB_algorithms.txt,Yeah.,No clear aspect,Neutral,0.5491
Algorithms,6R5ITB_algorithms.txt,Sometimes it's good,it,Positive,0.8852
Algorithms,6R5ITB_algorithms.txt,and then sometimes it just isn't quite the vibe.,"it, quite the vibe",Negative,0.7041
Algorithms,6R5ITB_algorithms.txt,"But sometimes it'll like, or like it does like the daily, like the daily mixes or something.","it, it, the daily mixes, something",Neutral,0.7946
Algorithms,6R5ITB_algorithms.txt,I'll play those sometimes and sometimes there's some new songs in there.,"i, those, some new songs",Neutral,0.6129
Algorithms,6R5ITB_algorithms.txt,"I also think I get a lot of my music recommendations from social media, like TikTok.","i, i, a lot, my music recommendations, social media, tiktok",Neutral,0.5502
Algorithms,6R5ITB_algorithms.txt,Yeah.,No clear aspect,Neutral,0.5491
Algorithms,6R5ITB_algorithms.txt,"Because I'll hear something on there and I'm like, oh, that's really cool.","i, something, i, that",Positive,0.964
Algorithms,6R5ITB_algorithms.txt,Or I'll hear like a artist like promoting that they're going on tour,"i, a artist, they",Neutral,0.8495
Algorithms,6R5ITB_algorithms.txt,and I'll hear like their music,"i, their music",Positive,0.5359
Algorithms,6R5ITB_algorithms.txt,"and I'm like, oh, that's a really good song.","i, that, a really good song",Positive,0.9779
Algorithms,62U759_algorithms.txt,I listen to my Spotify Discover weekly every week.,"i, my spotify discover weekly",Neutral,0.5061
Algorithms,62U759_algorithms.txt,I like just looking at my suggested that pops up through the computer for that as well.,"i, my, the computer, that",Positive,0.6897
Algorithms,62U759_algorithms.txt,"I think in terms of volume, the Discover Weekly is able to put a lot more songs at me.","i, terms, volume, the discover weekly, a lot more songs, me",Positive,0.8701
Algorithms,62U759_algorithms.txt,Because sometimes I like a song on Discover Weekly and I just don't revisit it.,"i, a song, discover weekly, i, it",Neutral,0.5525
Algorithms,62U759_algorithms.txt,"Like I don't come back to whatever, if that makes sense.","i, whatever, that, sense",Neutral,0.6921
Algorithms,62U759_algorithms.txt,Like I liked it in the moment and then.,"i, it, the moment",Positive,0.7557
Algorithms,62U759_algorithms.txt,"Like I would listen to music, but I would listen to only like the music that I knew.","i, music, i, the music, that, i",Neutral,0.6315
Algorithms,62U759_algorithms.txt,And I would like listen to the same few songs.,"i, the same few songs",Neutral,0.5703
Algorithms,62U759_algorithms.txt,"And like I started listening to the Discover Weekly, I think it was, and I would be like, whoa, like there's something to this.","i, the discover weekly, i, it, i, something, this",Neutral,0.7384
Algorithms,62U759_algorithms.txt,"And I would like start to pay attention more once that sort of got put on my radar and it kind of just exploded into having like, I want to listen to everything ever kind of deal.","i, attention, that sort, my radar, it, i, everything, ever kind of deal",Neutral,0.6094
Algorithms,B4A6KD_algorithms.txt,I think so.,i,Neutral,0.547
Algorithms,B4A6KD_algorithms.txt,Or like the computer [suggested] songs.,"the computer, songs",Neutral,0.8082
Algorithms,B4A6KD_algorithms.txt,"I just like... there was one I was like, “I hate this.”","i, i, i, this",Negative,0.9248
Algorithms,B4A6KD_algorithms.txt,I do algorithm stuff.,"i, algorithm stuff",Neutral,0.7784
Algorithms,B4A6KD_algorithms.txt,I follow artists that I already know.,"i, artists, that, i",Neutral,0.7582
Algorithms,B4A6KD_algorithms.txt,"And then like Spotify has like a, “you may know this artist.”","spotify, a, you, this artist",Neutral,0.7594
Algorithms,B4A6KD_algorithms.txt,And then typically I like when my friends send me songs,"i, my friends, me, songs",Positive,0.8241
Algorithms,B4A6KD_algorithms.txt,and I'll like go through that artist and then find things related.,"i, that artist, things",Neutral,0.6147
Algorithms,B4A6KD_algorithms.txt,"So like, through friends and then algorithms step 2 type of thing.","friends, step, 2 type, thing",Neutral,0.9011
Algorithms,B4A6KD_algorithms.txt,A lot of my favorite songs have been things that people have shown me as well.,"a lot, my favorite songs, things, that, people, me",Positive,0.955
Algorithms,B4A6KD_algorithms.txt,"Were the computer [suggested] songs, were those real?","the computer, songs",Neutral,0.8658
Algorithms,B4A6KD_algorithms.txt,That's my only question.,"that, my only question",Neutral,0.803
Algorithms,B4A6KD_algorithms.txt,Like they're not like AI generated?,"they, ai",Neutral,0.5042
Algorithms,9SZ2DJ_algorithms.txt,"I think, like in the past, I've like tried to like find like playlists based on what I'm trying to listen to.","i, the past, i, playlists, what, i",Neutral,0.8647
Algorithms,9SZ2DJ_algorithms.txt,"Like, I think sometimes like I remember this summer, I was thinking songs that are just the vibes of a road trip.","i, i, i, songs, that, just the vibes, a road trip",Neutral,0.7759
Algorithms,9SZ2DJ_algorithms.txt,"And we were driving to Miami and more songs like that, you know, I feel like Miami is kind of a genre, So, things like that, I look up, I look up playlists and just look at random people's playlists and look at stuff, or if it's like heartbreak music, like I'll just look at other people's playlists, see like what other people are listening to.","we, miami, that, you, i, miami, a genre, that, i, i, playlists, random people's playlists, stuff, it, heartbreak music, i, other people's playlists, what, other people",Neutral,0.747
Algorithms,9SZ2DJ_algorithms.txt,"But I feel like recently it's been like, But definitely, I feel like the ones that I stick to the most are the ones my friends tell me about because it's like, they know what you listen to and they, but then they also want to introduce you to their music taste.","i, it, i, the ones, that, i, the ones, my friends, me, it, they, what, you, they, they, you, their music taste",Positive,0.6124
Algorithms,9SZ2DJ_algorithms.txt,"So it's like cool to listen to your friends' music and then be like, oh, I like this too, Yeah.","it, your friends' music, i, this",Positive,0.9647
Algorithms,V47GRV_algorithms.txt,"The computer songs sounded pretty much how I thought they would, because I figured it would be pretty similar to what I had submitted.","the computer songs, i, they, i, it, what, i",Positive,0.6679
Algorithms,V47GRV_algorithms.txt,"But like I said, I expected the other people's favorite songs to be a more diverse set of genres.","i, i, the other people's favorite songs, a more diverse set, genres",Neutral,0.6829
Algorithms,V47GRV_algorithms.txt,"I pick up music very slowly and I've only had a Spotify account for the like, since I got into college, so about two years.","i, music, i, a spotify account, i, college",Neutral,0.5784
Algorithms,V47GRV_algorithms.txt,"now occasionally, because I have more of a defined playlist of adding things that I do enjoy, occasionally I will put use the Spotify algorithms to see what it suggests.","i, a defined playlist, things, that, i, i, the spotify algorithms, what, it",Positive,0.7103
Algorithms,V47GRV_algorithms.txt,"And then sometimes if I really like it, or if it's a song that feels nostalgic that I haven't heard in a while, then I'll throw it in my playlist.","i, it, it, a song, that, i, a while, i, it, my playlist",Positive,0.7452
Algorithms,V47GRV_algorithms.txt,"Other than that, I don't know where I get my music.","that, i, i, my music",Negative,0.4944
Algorithms,V47GRV_algorithms.txt,Sometimes it just occurs and it just appears.,"it, it",Neutral,0.7498
Algorithms,V47GRV_algorithms.txt,I went to my playlist on Spotify.,"i, my playlist, spotify",Positive,0.6119
Algorithms,V47GRV_algorithms.txt,"I scrolled kind of more towards the bottom, towards the songs I've added more recently, because that's more consistent with my current taste.","i, the bottom, the songs, i, that, my current taste",Neutral,0.6144
Algorithms,V47GRV_algorithms.txt,I mostly sorted it probably by bands and artists that I enjoy more and listen to more often.,"i, it, bands, artists, that, i",Positive,0.8936
Algorithms,V47GRV_algorithms.txt,"And then just pick the ones that were, that I like, I guess.","the ones, that, i, i",Positive,0.5287
Algorithms,2MDJD4_algorithms.txt,"Like sometimes I will get it from a curated playlist, but it's usually like a mix on Spotify that's already like 90% of the songs that I already have liked and they just kind of put them together.","i, it, a curated playlist, it, a mix, spotify, that, 90%, the songs, that, i, they, them",Positive,0.5626
Algorithms,2MDJD4_algorithms.txt,"Yeah, like if it goes off of like strictly, I guess, like if it chooses stuff from like artists you've already like listened to or it sees that you listen to frequently, you've way higher a chance of being like, okay, I like this.","it, i, it, stuff, artists, you, it, you, you, a chance, i, this",Positive,0.8085
Algorithms,2MDJD4_algorithms.txt,"Then if it's just like a random artist you've never heard and you're just like, oh, okay.","it, a random artist, you, you",Neutral,0.7243
Algorithms,JAC6MU_algorithms.txt,"I don't like to engage with like internet music discourse that much, but sometimes I'll like watch a video about somebody talking about music and then they'll mention this song","i, internet music, i, a video, somebody, music, they, this song",Neutral,0.5578
Algorithms,JAC6MU_algorithms.txt,"and I'll be like, okay, I'll check it out.","i, i, it",Positive,0.5114
Algorithms,JAC6MU_algorithms.txt,"Like, I don't know.",i,Neutral,0.502
Algorithms,JAC6MU_algorithms.txt,But it's never from an algorithm.,"it, an algorithm",Neutral,0.6587
Algorithms,JAC6MU_algorithms.txt,Or that's not entirely true because like YouTube algorithm and like other stuff like that.,"that, youtube algorithm, other stuff, that",Neutral,0.5777
Algorithms,JAC6MU_algorithms.txt,"But like never from like, I use Spotify, never from like Discover Weekly or stuff like that.","i, spotify, discover weekly, that",Neutral,0.6265
Algorithms,JAC6MU_algorithms.txt,"Or it's usually like related bands maybe, or like bands on like the same label, like that type of stuff.","it, related bands, bands, the same label, that type, stuff",Neutral,0.8958
Algorithms,JAC6MU_algorithms.txt,I feel like I've really been developing my personal taste like exponentially over the past like maybe half decade.,"i, i, my personal taste, the past, maybe half decade",Positive,0.6921
Algorithms,JAC6MU_algorithms.txt,"Part of that was getting Spotify Premium, which I hate to say.","part, that, spotify premium, which, i",Negative,0.5021
Algorithms,JAC6MU_algorithms.txt,"I'm very like, screw Spotify and all these streaming services, but also, God, it's showing me so much good stuff.","i, it, me, so much good stuff",Positive,0.4867
Algorithms,JAC6MU_algorithms.txt,It's like just the realm of possibilities is so open.,"it, just the realm, possibilities",Positive,0.7019
Algorithms,L0CULX_algorithms.txt,I love like listening to new music.,"i, new music",Positive,0.9886
Algorithms,L0CULX_algorithms.txt,So I usually like Spotify is the streaming platform I use.,"i, the streaming platform, i",Positive,0.7145
Algorithms,L0CULX_algorithms.txt,So I usually just like it gives you the like top hits every week.,"i, it, you, the like top hits",Neutral,0.5361
Algorithms,L0CULX_algorithms.txt,"And then it also gives you the, your suggested topics.","it, you, the, your suggested topics",Neutral,0.862
Algorithms,L0CULX_algorithms.txt,"So weekly, I'll just go and be like, listen through it.","i, it",Neutral,0.8325
Algorithms,Y1I6D6_algorithms.txt,"Like Spotify gives me the Discover Weekly and then I'll kind of go down like rabbit holes of like, if I find a song I like, I'll go to the radio and listen to all those songs.","spotify, me, the discover weekly, i, rabbit holes, i, a song, i, i, the radio, all those songs",Positive,0.5764
Algorithms,Y1I6D6_algorithms.txt,"And then if I like another song, do that again and again, and then kind of just keep finding songs I like.","i, another song, that, songs, i",Positive,0.7136
Algorithms,IAFS52_algorithms.txt,"I don't know, just algorithms, a much game.","i, a much game",Neutral,0.5601
Algorithms,IAFS52_algorithms.txt,"I listened to like, it's also just like, for context, I think it was like 2017.","i, it, context, i, it",Neutral,0.8357
Algorithms,IAFS52_algorithms.txt,"So it was like still somewhat relevant in like mainstream, if that makes sense.","it, mainstream, that, sense",Neutral,0.5505
Algorithms,IAFS52_algorithms.txt,"Cause it's like, it's around the time when like MCR and like, especially Fallout Boy, like Fallout Boy was like in main media.","it, it, the time, mcr, especially fallout boy, fallout boy, main media",Neutral,0.8916
Algorithms,IAFS52_algorithms.txt,"And I was like, okay, I like Fall Out Boy.","i, i",Positive,0.8601
Algorithms,IAFS52_algorithms.txt,And then algorithms kept on just recommending me stuff like that.,"algorithms, me, stuff, that",Negative,0.5491
Algorithms,IAFS52_algorithms.txt,"And I was like, this is kind of interesting.","i, this",Positive,0.9578
Algorithms,IAFS52_algorithms.txt,And I kind of like this.,"and i, this",Positive,0.8641
Algorithms,Z01ABO_algorithms.txt,I do sometimes.,i,Neutral,0.6906
Algorithms,Z01ABO_algorithms.txt,"Like, because I think it also depends on my mood.","i, it, my mood",Neutral,0.8355
Algorithms,Z01ABO_algorithms.txt,"Because like sometimes I'll be like, I just want some noise.","i, i, some noise",Neutral,0.5986
Algorithms,Z01ABO_algorithms.txt,And I'll like listen to like new stuff.,"i, new stuff",Positive,0.8996
Algorithms,0M3LDX_algorithms.txt,"A part of me, I guess, is like a little bit surprised at the computer-selected songs.","a part, me, i, the computer-selected songs",Neutral,0.5754
Algorithms,0M3LDX_algorithms.txt,I'm not sure why.,i,Neutral,0.531
Algorithms,0M3LDX_algorithms.txt,"It's just like, they felt very like, I guess relevant and like popular.","it, they, i",Positive,0.7481
Algorithms,0M3LDX_algorithms.txt,I'm not sure what I was expecting.,"i, what, i",Negative,0.6175
Algorithms,0M3LDX_algorithms.txt,"I guess just like, I don't know.","i, i",Neutral,0.5463
Algorithms,0M3LDX_algorithms.txt,It's hard to explain.,it,Negative,0.5752
Algorithms,0M3LDX_algorithms.txt,It just caught me by surprise for some reason.,"it, me, surprise, some reason",Neutral,0.5835
Algorithms,0M3LDX_algorithms.txt,"Oh, I remember why it was surprising to me.","i, it, me",Neutral,0.6298
Algorithms,0M3LDX_algorithms.txt,"Sorry, but that does answer your question.","that, your question",Neutral,0.5886
Algorithms,0M3LDX_algorithms.txt,"So what was surprising to me was how sort of accurate it was, like what I typically enjoy, which is also similar to what I experience when I get algorithm suggested playlists and whatnot.","what, me, it, what, i, which, what, i, i, algorithm, playlists",Positive,0.6443
Algorithms,0M3LDX_algorithms.txt,"Like it includes stuff that I enjoy, not that the computer ones did, but similar genres.","it, stuff, that, i, the computer ones",Positive,0.8897
Algorithms,0M3LDX_algorithms.txt,"And it plays music that I know and have already listened to and enjoy, but also new, similar things that I probably will enjoy.","it, music, that, i, new, similar things, that, i",Positive,0.9288
Algorithms,0M3LDX_algorithms.txt,So that is my experience with that.,"that, my experience, that",Neutral,0.7922
Algorithms,0M3LDX_algorithms.txt,Usually I don't use those algorithms just because sometimes I'm a little bit nervous about listening to new things.,"i, those algorithms, i, new things",Negative,0.6626
Algorithms,0M3LDX_algorithms.txt,"But yeah, that's my limited experience with them.","that, my limited experience, them",Neutral,0.6292
Algorithms,0M3LDX_algorithms.txt,They're very cool.,they,Positive,0.9787
Algorithms,0M3LDX_algorithms.txt,And I just sort of remember that band's name or that artist's name.,"i, that band's name, that artist's name",Neutral,0.87
Algorithms,0M3LDX_algorithms.txt,And then when they inevitably pop up I give them a listen.,"they, i, them, a listen",Neutral,0.8205
Algorithms,0M3LDX_algorithms.txt,"And then sometimes, you know, the Spotify explore feature where you can just choose a genre and then swipe up on songs and like hear like 30 second snippets of them.","you, you, a genre, songs, 30 second snippets, them",Neutral,0.7236
Algorithms,0M3LDX_algorithms.txt,I also use that sometimes when I'm bored.,"i, that, i",Neutral,0.6388
Algorithms,0M3LDX_algorithms.txt,"And yeah, it's pretty cool.",it,Positive,0.977
Algorithms,0M3LDX_algorithms.txt,With the computer,the computer,Neutral,0.7031
Algorithms,0M3LDX_algorithms.txt,"[suggested] ones, it's like, okay, it's based off of someone's-- I don't know how the algorithm works exactly, so I'm just going off of how I'm guessing it works.","ones, it, it, someone's--, i, the algorithm, i, i, it",Neutral,0.7288
Algorithms,0M3LDX_algorithms.txt,"But the algorithm, it picks songs based off what it thinks the listener will like, which I know, I tend to humanize computers, as a computer science major, a little bit.","it, songs, what, it, the listener, which, i, i, computers, a computer science major, a little bit",Neutral,0.6851
Algorithms,0M3LDX_algorithms.txt,"But I can see the “effort” or “thought” put into it and be like, that's, you made an “effort” and sometimes it works, sometimes it doesn't, but it doesn't feel as human.","i, the “effort, it, that, you, an “effort, it, it, it",Negative,0.58
Algorithms,0M3LDX_algorithms.txt,Like the connection isn't really there.,the connection,Negative,0.5746
Algorithms,0M3LDX_algorithms.txt,"For the human selected ones, a human actually went through that, has some sort of connection to it.","the human selected ones, a human, that, some sort, connection, it",Neutral,0.8806
Algorithms,0M3LDX_algorithms.txt,"But the computer ones, it's, connection isn't there.","the computer ones, it, connection",Negative,0.5907
Algorithms,0M3LDX_algorithms.txt,It's just an algorithm spitting out what it thinks is most optimal.,"it, an algorithm, what, it",Neutral,0.7254
Algorithms,X1QQ4F__algorithms.txt,I was going to ask you about the last song that I heard because I really liked it.,"i, you, the last song, that, i, i, it",Positive,0.9224
Algorithms,X1QQ4F__algorithms.txt,Probably after this I'll try to find it anyways.,"this, i, it",Neutral,0.8112
Algorithms,X1QQ4F__algorithms.txt,"Yeah, and actually I liked the first one too.",i,Positive,0.9293
Algorithms,X1QQ4F__algorithms.txt,"I thought the algorithm was, I don't want to say tender","i, the algorithm, i, tender",Negative,0.4891
Algorithms,X1QQ4F__algorithms.txt,"[catered?] to what I kind of like, but in a sense it almost felt like it.","what, i, a sense, it, it",Neutral,0.6954
Algorithms,X1QQ4F__algorithms.txt,"The other people's music was definitely different, but it wasn't as different as I was expecting.","the other people's music, it, i",Neutral,0.6318
Algorithms,X1QQ4F__algorithms.txt,I was expecting something very different.,"i, something",Neutral,0.6031
Algorithms,X1QQ4F__algorithms.txt,I don't really know why.,i,Neutral,0.5487
Algorithms,X1QQ4F__algorithms.txt,Probably just because of where they live.,they,Neutral,0.6205
Algorithms,PYIPEW_algorithms.txt,"Yeah, a lot of times I'll like put on a song or two that I like and then just have Spotify like shuffle or I'll do I've been trying out the DJ lately.","times, i, a song, that, i, shuffle, i, i, the dj",Positive,0.6499
Algorithms,PYIPEW_algorithms.txt,I don't know how I feel about it.,"i, i, it",Negative,0.7091
Algorithms,PYIPEW_algorithms.txt,Sometimes it's good.,it,Positive,0.8462
Algorithms,PYIPEW_algorithms.txt,"Sometimes I'm like, But I definitely do like just hearing things that are like similar to what I'm listening to, but, you know, new to me still.","i, i, things, that, what, i, you, me",Positive,0.7985
